2022/11/26 21:31:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:52 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:55 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:00 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:02 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:03 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:04 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:05 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:07 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:08 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:09 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:10 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:12 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:14 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:18 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:19 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:23 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:24 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:27 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:31 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:33 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:39 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:52 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:55 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:57 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:32:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:00 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:01 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:02 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:04 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:05 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:33:06 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:29 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:29 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:34 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:34 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:38 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:39 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:43 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:48 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:52 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:53 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:57 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:34:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:01 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:02 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:03 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:04 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:06 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:07 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:08 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:10 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:11 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:12 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:16 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:18 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:20 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:23 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:25 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:27 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:31 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:34 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:39 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:48 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:35:53 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:16 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:19 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:20 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:23 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:25 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:27 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:31 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:33 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:38 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:43 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:36:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:10 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:10 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:11 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:12 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:14 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:16 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:19 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:20 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:24 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:25 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:29 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:33 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:34 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:38 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:39 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:43 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:48 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:52 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:53 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:57 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:37:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:01 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:02 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:03 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:05 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:06 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:07 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:08 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:10 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:11 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:12 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:16 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:18 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:20 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:23 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:25 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:27 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:31 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:33 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
